brand,product_name,parent_category,child_category,materials,price
Hollister,Low-Rise Floral Back Pocket Poplin Shortie Shorts,Bottoms,Shorts,"Body:98% Cotton, 2% Elastane / Pocket Bag:65% Polyester, 35% Cotton",44.95
Hollister,Easy Dog Graphic Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",49.95
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,,14.95
Hollister,Seamless Fabric Scoop Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95
Hollister,Easy Satin Tie Babydoll Top,Tops,Shirt/Blouse,"Body:100% Viscose / Elastic:67% Polyester, 33% Elastane / Lining:100% Polyester",29.95
Hollister,Easy Long-Sleeve Butterfly Pattern Babydoll Top,Tops,Shirt/Blouse,"Body:94% Cotton, 6% Elastane",29.95
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body:96% Cotton, 4% Elastane",14.95
Hollister,Zip-Up Hoodie,Tops,Hoodie/Sweatshirt,"Body And Hood Lining:60% Cotton, 40% Polyester",44.95
Hollister,Seamless Fabric Long-Sleeve Crew Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95
Hollister,Hollister Feel Good Fleece Oversized Floral Pattern Hoodie,Tops,Hoodie/Sweatshirt,"Body:60% Cotton, 40% Polyester",44.95
Hollister,Satin Strapless Bow Bodycon Dress,Dresses & Jumpsuits,Dress,"Body:94% Polyester, 6% Elastane / Lace:100% Nylon / Lining:85% Polyester, 15% Elastane / Pad Foam:100% Polyurethane / Pad Lining:100% Polyester",69.95
Hollister,Seamless Fabric Scoop Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95
Hollister,Zip-Up Hoodie,Tops,Hoodie/Sweatshirt,"Body And Hood Lining:60% Cotton, 40% Polyester",44.95
Hollister,Satin Strapless Bow Bodycon Dress,Dresses & Jumpsuits,Dress,"Body:94% Polyester, 6% Elastane / Lace:100% Nylon / Lining:85% Polyester, 15% Elastane / Pad Foam:100% Polyurethane / Pad Lining:100% Polyester",69.95
Hollister,High-Rise Black Flare Jeans,Bottoms,Jeans,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton",49.95
Hollister,Star Graphic Baggy Sweatpants,Bottoms,Trousers/Chinos,"Body And Pocket Bag:60% Cotton, 40% Polyester",49.95
Hollister,Oversized Varsity Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester",49.95
Hollister,Stretch Poplin Embroidered Short-Sleeve Shirt,Tops,Shirt/Blouse,"Body:60% Cotton, 36% Polyester, 4% Elastane / Embroidery:100% Polyester",39.95
Hollister,Off-the-Shoulder Hibiscus Graphic Tee,Tops,T-shirt,,24.95
Hollister,Seamless Fabric Scoop Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95
Hollister,Crinkle Shine Flyaway Babydoll Top,Tops,Shirt/Blouse,"Body:100% Viscose / Elastic:71% Polyester, 29% Elastane / Lining:100% Polyester",39.95
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body And Lining:95% Cotton, 5% Elastane / Body:96% Cotton, 4% Elastane",14.95
Hollister,Seamless Fabric Long-Sleeve Crew Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95
Hollister,Zip-Up Hoodie,Tops,Hoodie/Sweatshirt,"Body And Hood Lining:60% Cotton, 40% Polyester",44.95
Hollister,Class of '26 Baggy Sweatpants,Bottoms,Trousers/Chinos,"Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Oversized Class of '26 Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:60% Cotton, 40% Polyester / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Crinkle Shine Flyaway Babydoll Top,Tops,Shirt/Blouse,"Body:100% Viscose / Elastic:71% Polyester, 29% Elastane / Lining:100% Polyester",39.95
Hollister,Low-Rise Medium Wash Star Graphic Baggy Jeans,Bottoms,Jeans,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton",59.95
Hollister,Easy Satin Tie Babydoll Top,Tops,Shirt/Blouse,"Body:100% Viscose / Elastic:67% Polyester, 33% Elastane / Lining:100% Polyester",29.95
Hollister,Mid-Rise Khaki Boot Jeans,Bottoms,Jeans,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton",49.95
Hollister,Easy Satin Tie Babydoll Top,Tops,Shirt/Blouse,"Body:100% Viscose / Elastic:67% Polyester, 33% Elastane / Lining:100% Polyester",29.95
Hollister,Low-Rise Denim Mini Skort,Bottoms,Skirt,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton",39.95
Hollister,Easy Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",39.95
Hollister,Curvy High-Rise Medium Wash Flare Jeans,Bottoms,Jeans,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton",49.95
Hollister,Easy Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",39.95
Hollister,Seamless Fabric Scoop Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95
Hollister,Seamless Fabric Scoop Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95
Hollister,Gilly Hicks Active Recharge Flare Leggings,Bottoms,Trousers/Chinos,"Body:89% Recycled Polyester, 11% Elastane",49.95
Hollister,Satin Strapless Bow Bodycon Dress,Dresses & Jumpsuits,Dress,"Body:94% Polyester, 6% Elastane / Lace:100% Nylon / Lining:85% Polyester, 15% Elastane / Pad Foam:100% Polyurethane / Pad Lining:100% Polyester",69.95
Hollister,Class of '26 Oxford Boxer Shorts,Bottoms,Shorts,"Body And Pocket Bag:100% Cotton / Elastic:61% Nylon, 25% Polyester, 14% Elastane",19.95
Hollister,Class of '26 Short-Sleeve Cotton Shirt,Tops,Shirt/Blouse,Body:100% Cotton,29.95
Hollister,2026 Graphic Baggy Sweatpants,Bottoms,Trousers/Chinos,"Applique:60% Cotton, 40% Polyester / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Oversized Class of '26 Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:60% Cotton, 40% Polyester / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Easy Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",39.95
Hollister,Senior Graphic Baggy Sweatpants,Bottoms,Trousers/Chinos,"Applique:100% Cotton / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Oversized Senior Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:60% Cotton, 40% Polyester / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Bow Graphic Baggy Sweatpants,Bottoms,Trousers/Chinos,"Body And Pocket Bag:60% Cotton, 40% Polyester",49.95
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body:96% Cotton, 4% Elastane",14.95
Hollister,Class of '26 Baggy Sweatpants,Bottoms,Trousers/Chinos,"Applique:60% Cotton, 40% Polyester / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Oversized Class of '26 Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Oversized Senior Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Low-Rise Washed Black Denim Mini Skort,Bottoms,Skirt,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton",39.95
Hollister,Class of '26 Baggy Sweatpants,Bottoms,Trousers/Chinos,"Applique:60% Cotton, 40% Polyester / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Oversized Class of '26 Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Low-Rise Denim Mini Skort,Bottoms,Skirt,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton",39.95
Hollister,Low-Rise Medium Wash Baggy Jeans,Bottoms,Jeans,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton",49.95
Hollister,Class of '26 Graphic Baggy Sweatpants,Bottoms,Trousers/Chinos,"Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Low-Rise Class of '26 Denim Mini Skort,Bottoms,Skirt,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton",44.95
Hollister,Low-Rise Dark Wash Class of '26 Embroidered Baggy Jeans,Bottoms,Jeans,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton",59.95
Hollister,Senior Graphic Baggy Sweatpants,Bottoms,Trousers/Chinos,"Applique:100% Cotton / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Oversized Senior Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95
Hollister,Button-Front Mini Dress,Dresses & Jumpsuits,Dress,"Body:100% Cotton / Elastic:68% Polyester, 32% Elastodiene / Lining:100% Polyester",49.95
Hollister,Button-Front Mini Dress,Dresses & Jumpsuits,Dress,"Body:100% Cotton / Elastic:68% Polyester, 32% Elastodiene / Lining:100% Polyester",49.95
Hollister,Short-Sleeve Tuxedo Shirt,Tops,Shirt/Blouse,"Body:66% Cotton, 31% Polyester, 3% Elastane",39.95
Hollister,Short-Sleeve Tuxedo Shirt,Tops,Shirt/Blouse,"Body:66% Cotton, 31% Polyester, 3% Elastane",39.95
Hollister,Ruched Babydoll Top,Tops,Shirt/Blouse,"Body:100% Cotton / Elastic:69% Polyester, 31% Elastane / Lining:100% Polyester",29.95
Hollister,Ruched Babydoll Top,Tops,Shirt/Blouse,"Body:100% Cotton / Elastic:69% Polyester, 31% Elastane / Lining:100% Polyester",29.95
Hollister,Stretch Poplin Button-Through Shirt,Tops,Shirt/Blouse,"Body:60% Cotton, 36% Polyester, 4% Elastane",39.95
Hollister,Button-Front Mini Dress,Dresses & Jumpsuits,Dress,"Body:100% Cotton / Elastic:71% Polyester, 29% Elastane / Lining:100% Polyester",49.95
Mexx,Bodywarmer Belted Black,Outerwear,Jacket,100% Polyester,142.99
Mexx,Jacket Puffer Anthracite,Outerwear,Jacket,"78% Polyester, 4% Elastane, 18% Viscose",186.99
Mexx,Long puffer Jacket Beige,Outerwear,Jacket,100% Polyamide,208.99
Mexx,Teddy Jacket Brown,Outerwear,Jacket,100% Polyester,175.99
Mexx,Short Puffer Jacket Off White,Outerwear,Jacket,100% Polyester,186.99
Mexx,Short Puffer Jacket Blue,Outerwear,Jacket,100% Polyester,186.99
Mexx,Skirt Ruffle Strings Cream,Bottoms,Skirt,100% Polyester,76.99
Mexx,T-shirt Primrose Rib Dark Red,Tops,T-shirt,100% Cotton,43.99
Mexx,Pants Buttoned Waist Light Pink,Bottoms,Trousers/Chinos,"72% Polyester, 23% Viscose, 5% Elastane",109.99
Mexx,Dress Bold flower Pink,Dresses & Jumpsuits,Dress,100% Viscose,131.99
Mexx,Blouse Embroidery Off White,Tops,Shirt/Blouse,100% Viscose,98.99
Mexx,Blouse Puff Sleeve Gathering Pink,Tops,Shirt/Blouse,100% Viscose,98.99
Mexx,Blouse Rosa Black,Tops,Shirt/Blouse,100% Cotton,65.99
Mexx,Jeans Classic slim Blue,Bottoms,Jeans,"98% Cotton, 2% Elastane",98.99
Mexx,Wrap Dress Long Sleeve Black,Dresses & Jumpsuits,Dress,100% Viscose,109.99
Mexx,Top Striped Black/White,Tops,Shirt/Blouse,"35% Polyester, 65% Cotton",60.49
Mexx,Bomberjack Long Sleeve Black,Outerwear,Jacket,"72% Polyester, 22% Viscose, 6% Elastane",131.99
Mexx,Pants Belted Tapered Black,Bottoms,Trousers/Chinos,"72% Polyester, 22% Viscose, 6% Elastane",120.99
Mexx,Top V-back Cream,Tops,Shirt/Blouse,"95% Viscose, 5% Elastane",65.99
Mexx,Knit cardigan Peony Cream,Tops,Sweater/Cardigan,"80% Viscose, 20% Polyamide",76.99
Mexx,Top Knitted Relief Brown,Tops,Shirt/Blouse,"65% Viscose, 35% Polyamide",65.99
Mexx,Spencer Fancy Mustard Yellow,Tops,Shirt/Blouse,"60% Cotton, 40% Acrylic",87.99
Mexx,T-shirt Print Cream,Tops,T-shirt,100% Cotton,43.99
Mexx,Top Gerbera Mustard Yellow,Tops,Shirt/Blouse,"80% Viscose, 20% Polyamide",60.49
Mexx,Knit Cardigan Peony Mustard Yellow,Tops,Sweater/Cardigan,"80% Viscose, 20% Polyamide",76.99
Mexx,Pants Tweed Straight Taupe,Bottoms,Trousers/Chinos,100% Polyester,131.99
Mexx,Skirt Tweed Taupe,Bottoms,Skirt,100% Polyester,87.99
Mexx,Gilet Sleeveless Tweed Taupe,Tops,Shirt/Blouse,100% Polyester,109.99
Mexx,Blouse Chamomile Tencel Green,Tops,Shirt/Blouse,"86% Lyocell, 14% Polyester",87.99
Mexx,Blouse Heavy lace White,Tops,Shirt/Blouse,"71% Viscose, 29% Polyamide",87.99
Mexx,Top Woven Allover Print Beige,Tops,Shirt/Blouse,100% Viscose,87.99
Mexx,Dress Heavy lace Yellow Brown,Dresses & Jumpsuits,Dress,"71% Viscose, 29% Polyamide",131.99
Mexx,Skirt Satin Printed Maxi Beige,Bottoms,Skirt,100% Viscose,98.99
Mexx,Bomberjack Tweed Oversized Taupe,Outerwear,Jacket,100% Polyester,153.99
Mexx,T-shirt Embroidery Oversized Black,Tops,T-shirt,100% Cotton,43.99
Mexx,Skirt Iceflower Multi Black,Bottoms,Skirt,"97% Polyester, 3% Elastane",98.99
Mexx,Long Coat Logo Quilted Dark Red,Outerwear,Coat,100% Polyester,229.9
Mexx,Long Puffer Jacket Black,Outerwear,Jacket,100% Polyamide,208.99
Mexx,Andrea High Waist / Skinny Jeans,Bottoms,Jeans,98% Cotton 2% Elastane,98.99
Mexx,Pants Cosmea Classic Tapered Black,Bottoms,Trousers/Chinos,"52% Cotton, 45% Polyester, 3% Elastane",87.99
Mexx,Top Gerbera Cream,Tops,Shirt/Blouse,"80% Viscose, 20% Polyamide",60.49
C&A,Bouclé cardigan,Tops,Sweater/Cardigan,['78% Cotton | 18% Polyester | 4% Nylon'],39.99
C&A,Long cardigan,Tops,Sweater/Cardigan,['78% Viscose | 22% Nylon'],25.99
C&A,Mesh dress - floral,Dresses & Jumpsuits,Dress,['95% Polyester | 5% Elastane'],25.99
C&A,Technical joggers - 4 Way Stretch,Bottoms,Trousers/Chinos,"['Main part: 77% Polyester | 23% Elastane', 'Pocket: 77% Polyester | 23% Elastane']",25.99
C&A,Multipack of 2 - basic turtleneck top - ribbed,Tops,T-shirt,"['95% Cotton | 5% Elastane', '95% Cotton | 5% Elastane']",25.99
C&A,Multipack of 2 - basic turtleneck top - ribbed,Tops,T-shirt,"['95% Cotton | 5% Elastane', '95% Cotton | 5% Elastane']",25.99
C&A,Knitted dress,Dresses & Jumpsuits,Dress,['40% Acrylic | 40% Viscose | 20% Nylon'],25.99
C&A,Pleated skirt,Bottoms,Skirt,['44% Viscose | 28% Polyester | 28% Polyamide'],29.99
C&A,Jacket with hood - water-repellent,Outerwear,Jacket,['100% Nylon'],29.99
C&A,Quilted gilet,Outerwear,Jacket,['100% Polyester'],29.99
C&A,Slim jeans - high waist - LYCRA®,Bottoms,Jeans,['78% Cotton | 20% Polyester | 2% Elastane (LYCRAÂ®)'],29.99
C&A,Long cardigan - ribbed,Tops,Sweater/Cardigan,['100% Acrylic'],29.99
C&A,Faux fur jacket with hood,Outerwear,Jacket,['100% Polyester'],29.99
C&A,Wide leg jeans - high waist,Bottoms,Jeans,['99% Cotton | 1% Elastane'],29.99
C&A,Jeans,Bottoms,Jeans,['100% Cotton'],29.99
C&A,Cloth trousers - high waist - slim fit,Bottoms,Trousers/Chinos,['54% Modal | 41% Polyester | 3% Viscose | 2% Elastane'],29.99
C&A,Jumper - ribbed,Tops,Sweater/Cardigan,['50% Viscose | 28% Polyester | 22% Nylon'],29.99
C&A,Multipack of 2 - basic long sleeve top,Tops,T-shirt,"['100% Cotton', '100% Cotton']",29.99
C&A,Bootcut jeans - high waist,Bottoms,Jeans,['99% Cotton | 1% Elastane'],29.99
C&A,Loose flared jeans - mid-rise waist,Bottoms,Jeans,['99% Cotton | 1% Elastane'],29.99
C&A,Wide leg jeans - high waist,Bottoms,Trousers/Chinos,['98% Cotton | 2% Elastane'],29.99
C&A,Jersey trousers - mid-rise waist - tapered fit,Bottoms,Trousers/Chinos,['68% Viscose | 27% Polyamide | 5% Elastane'],29.99
C&A,Jersey trousers - mid-rise waist - tapered fit,Bottoms,Trousers/Chinos,['68% Viscose | 27% Polyamide | 5% Elastane'],29.99
C&A,Jersey trousers - mid-rise waist - tapered fit,Bottoms,Trousers/Chinos,['68% Viscose | 27% Polyamide | 5% Elastane'],29.99
C&A,Knitted jumper - short sleeve,Tops,Sweater/Cardigan,['66% Polyester | 25% Acrylic | 6% Wool | 3% Elastane'],29.99
C&A,Cloth trousers with belt - high waist - wide leg,Bottoms,Trousers/Chinos,"['58% Viscose | 34% Nylon | 8% Elastane', '100% Polyurethane']",35.99
C&A,Cloth trousers with belt - high-rise waist - wide leg,Bottoms,Trousers/Chinos,"['96% Polyester | 4% Elastane', '100% Polyurethane']",35.99
C&A,Quilted jacket,Outerwear,Jacket,['100% Polyester'],39.99
C&A,Long blazer- regular fit,Outerwear,Blazer,['74% Polyester | 23% Viscose | 3% Elastane'],39.99
C&A,Long blazer- regular fit,Outerwear,Blazer,['74% Polyester | 23% Viscose | 3% Elastane'],39.99
C&A,Long blazer- regular fit,Outerwear,Blazer,['74% Polyester | 23% Viscose | 3% Elastane'],39.99
C&A,Business blazer - fitted,Outerwear,Blazer,['77% Polyester | 19% Viscose | 4% Elastane'],35.99
C&A,Business blazer - fitted,Outerwear,Blazer,['77% Polyester | 19% Viscose | 4% Elastane'],35.99
C&A,Denim shirt dress,Dresses & Jumpsuits,Dress,"['Main part: 100% Cotton', 'Belt: 100% Cotton']",35.99
C&A,Cardigan with belt,Tops,Sweater/Cardigan,"['78% Polyester | 16% Viscose | 6% Wool', '100% Polyurethane']",39.99
C&A,Cropped denim jacket,Outerwear,Jacket,"['Main part: 100% Cotton', 'Sleeve: 100% Cotton']",39.99
C&A,Barrel jeans - high waist,Bottoms,Jeans,['76% Cotton | 24% Viscose'],39.99
C&A,Trench coat,Outerwear,Coat,"['Main part: 100% Polyester', 'Sleeve: 100% Polyester', 'Belt: 100% Polyester']",49.99
C&A,Blazer,Outerwear,Blazer,"['Body: 66% Polyester | 28% Viscose | 6% Elastane', 'Sleeve: 66% Polyester | 28% Viscose | 6% Elastane']",49.99
C&A,Basic leggings,Bottoms,Trousers/Chinos,['95% Cotton | 5% Elastane'],9.99
C&A,T-shirt - slim fit,Tops,T-shirt,['95% Cotton | 5% Elastane'],7.99
C&A,Basic long sleeve top - slim fit,Tops,T-shirt,['95% Cotton | 5% Elastane'],9.99
C&A,Long blazer - regular fit - textured,Outerwear,Blazer,['68% Polyester | 31% Viscose | 1% Elastane'],59.99
C&A,Blazer,Outerwear,Blazer,['69% Polyester | 29% Viscose | 2% Elastane'],59.99
C&A,Basic sweatshirt,Tops,Hoodie/Sweatshirt,['80% Cotton | 20% Polyester'],17.99
C&A,Basic sweatshirt,Tops,Hoodie/Sweatshirt,['80% Cotton | 20% Polyester'],17.99
C&A,Basic sweatshirt,Tops,Hoodie/Sweatshirt,['80% Cotton | 20% Polyester'],17.99
C&A,Basic joggers,Bottoms,Trousers/Chinos,['80% Cotton | 20% Polyester'],19.99
C&A,Jumper - ribbed,Tops,Sweater/Cardigan,['72% Viscose | 28% Nylon'],15.99
C&A,Multipack of 2 - basic long sleeve top,Tops,T-shirt,['95% Cotton | 5% Elastane'],19.99
C&A,Cashmere jumper,Tops,Sweater/Cardigan,['100% Cashmere'],79.99
C&A,Satin blouse - floral,Tops,Shirt/Blouse,['100% Polyester'],19.99
C&A,Basic jersey trousers - mid-rise waist - straight fit,Bottoms,Trousers/Chinos,['53% Modal | 32% Polyester | 15% Elastane'],25.99
C&A,Fit & flare dress with belt - textured,Dresses & Jumpsuits,Dress,"['99% Polyester | 1% Elastane', '99% Polyester | 1% Elastane']",22.99
C&A,Jersey trousers - high waist - slim fit,Bottoms,Trousers/Chinos,['68% Viscose | 28% Nylon | 4% Elastane'],25.99
C&A,Business trousers - mid-rise waist - slim fit,Bottoms,Trousers/Chinos,['77% Polyester | 19% Viscose | 4% Elastane'],25.99
C&A,Jersey trousers - mid-rise waist - tapered fit,Bottoms,Trousers/Chinos,['68% Viscose | 27% Polyamide | 5% Elastane'],29.99
C&A,Cloth trousers with belt - high-rise waist - wide leg,Bottoms,Trousers/Chinos,"['96% Polyester | 4% Elastane', '100% Polyurethane']",35.99
C&A,Trench coat,Outerwear,Coat,"['Main part: 100% Polyester', 'Sleeve: 100% Polyester', 'Belt: 100% Polyester']",49.99
C&A,Wide leg jeans - high waist,Bottoms,Jeans,['99% Cotton | 1% Elastane'],29.99
Superdry,Athletic Tonal Oversized T-Shirt,Tops,T-shirt,cotton 100%,39.95
Superdry,Athletic Essentials Graphic Polo Shirt,Tops,Shirt/Blouse,"elastane 3%, cotton 97%",54.95
Superdry,The Merchant Store - Oversized Linen Overshirt,Tops,Shirt/Blouse,"linen 35%, cotton 65%",109.95
Superdry,Athletic Essentials Ribbed Tank Dress,Dresses & Jumpsuits,Dress,Organic Cotton 100%,44.95
Superdry,Essential Logo Garment Dye Vest Top,Tops,Shirt/Blouse,cotton 100%,26.95
Superdry,Athletic Essentials Oversized Crew Sweatshirt,Tops,Hoodie/Sweatshirt,cotton 100%,69.95
Superdry,Casual Linen Boyfriend Shirt,Tops,Shirt/Blouse,"linen 55%, cotton 45%",99.95
Superdry,Athletic Essentials Graphic Pointelle Cami Top,Tops,Shirt/Blouse,Organic Cotton 100%,29.95
Superdry,Athletic Essentials Tonal Embroidered Shorts,Bottoms,Shorts,cotton 100%,44.95
Superdry,Essential Logo Racer Vest Top,Tops,Shirt/Blouse,cotton 100%,26.95
Superdry,Bardot Off Shoulder Top,Tops,Shirt/Blouse,Organic Cotton 100%,36.95
Superdry,Athletic Essentials Graphic Pointelle Cami Top,Tops,Shirt/Blouse,Organic Cotton 100%,29.95
Superdry,Studios Lightweight Racer Vest Top,Tops,Shirt/Blouse,Organic Cotton 100%,26.95
Superdry,Mountain Windbreaker Jacket,Outerwear,Jacket,Recycled Polyester 100%,129.95
Superdry,Essential Logo Garment Dye Vest Top,Tops,Shirt/Blouse,cotton 100%,26.95
Superdry,Beach Resort Shirt,Tops,T-shirt,viscose 100%,59.95
Superdry,Oversized Midi Shirt Dress,Dresses & Jumpsuits,Dress,cotton 100%,62.96
Superdry,Slim Oxford Long Sleeve Shirt,Tops,Shirt/Blouse,Organic Cotton 100%,69.95
Superdry,Essential Logo Racer Vest Top,Tops,Shirt/Blouse,cotton 100%,26.95
Superdry,Old School Tattoo Oversized Crew Sweatshirt,Tops,Hoodie/Sweatshirt,cotton 100%,74.95
Superdry,Athletic Tonal Oversized T-Shirt,Tops,T-shirt,cotton 100%,39.95
Superdry,Ibiza Lace Blouse,Tops,Shirt/Blouse,cotton 100%,69.95
Superdry,Athletic Essentials Tonal Applique Crew Sweatshirt,Tops,Hoodie/Sweatshirt,cotton 100%,74.95
Superdry,Athletic Essentials Tonal Applique Crew Sweatshirt,Tops,Hoodie/Sweatshirt,cotton 100%,74.95
Superdry,Old School Tattoo Oversized Zip Hoodie,Tops,Hoodie/Sweatshirt,cotton 100%,99.95
Superdry,Broderie Tiered Mini Dress,Dresses & Jumpsuits,Dress,cotton 100%,59.46
Superdry,Short Sleeve Printed Mini Wrap Dress,Dresses & Jumpsuits,Dress,viscose 100%,48.96
Superdry,Athletic Tonal Oversized T-Shirt,Tops,T-shirt,cotton 100%,39.95
Superdry,Surf Logo Fitted T-Shirt,Tops,T-shirt,cotton 100%,39.95
Superdry,Venue Metallic Relaxed T-Shirt,Tops,T-shirt,Organic Cotton 100%,31.46
Superdry,Studios Hoodie,Tops,Hoodie/Sweatshirt,"Recycled Polyester 25%, cotton 75%",74.95
Superdry,Athletic Tonal Embroidered Wide Leg Joggers,Bottoms,Trousers/Chinos,cotton 100%,69.95
